sample1,,
Wavelength (nm),%T,
617,77.7532959,
616,77.9661026,
615,78.13337708,
614,78.38700104,
613,78.54302979,
612,78.65532684,
611,78.7720108,
610,78.89162445,
609,78.97325897,
608,79.02885437,
607,79.06349945,
606,79.11146545,
605,79.09217834,
604,79.0607605,
603,79.0278244,
602,78.99334717,
601,78.87789917,
600,78.83272552,
599,78.67923737,
598,78.55664825,
597,78.39228821,
596,78.28386688,
595,78.12813568,
594,77.96750641,
593,77.73860931,
592,77.52236938,
591,77.35760498,
590,77.11597443,
589,76.90414429,
588,76.73443604,
587,76.46297455,
586,76.19555664,
585,75.93757629,
584,75.64659119,
583,75.37985992,
582,75.08596039,
581,74.8038559,
580,74.52099609,
579,74.20906067,
578,74.00310516,
577,73.66069794,
576,73.26963806,
575,72.95126343,
574,72.63568115,
573,72.31743622,
572,71.89061737,
571,71.57566833,
570,71.24970245,
569,70.93550873,
568,70.49507141,
567,70.15271759,
566,69.78567505,
565,69.42518616,
564,69.07172394,
563,68.70652771,
562,68.3393631,
561,68.01455688,
560,67.63277435,
559,67.33939362,
558,66.94623566,
557,66.59751892,
556,66.30736542,
555,65.99317932,
554,65.66637421,
553,65.40159607,
552,65.14490509,
551,64.88959503,
550,64.70120239,
549,64.51646423,
548,64.37083435,
547,64.19836426,
546,64.18608093,
545,64.06699371,
544,64.05630493,
543,64.03512573,
542,64.09353638,
541,64.1026535,
540,64.23271179,
539,64.39682007,
538,64.60774231,
537,64.82635498,
536,65.08229828,
535,65.37918091,
534,65.71003723,
533,66.06893921,
532,66.48004913,
531,66.88782501,
530,67.30416107,
529,67.80373383,
528,68.26422882,
527,68.72412109,
526,69.17363739,
525,69.60453796,
524,70.0572052,
523,70.50332642,
522,70.88990784,
521,71.20282745,
520,71.48908234,
519,71.67282867,
518,71.70048523,
517,71.75286102,
516,71.66133118,
515,71.48485565,
514,71.15871429,
513,70.73386383,
512,70.18884277,
511,69.53623199,
510,68.75977325,
509,67.92808533,
508,66.947052,
507,65.89706421,
506,64.79878235,
505,63.63654709,
504,62.37878036,
503,61.09882736,
502,59.81417847,
501,58.46659088,
500,57.17425537,
499,55.92669296,
498,54.60541153,
497,53.32720947,
496,52.12976456,
495,50.94244385,
494,49.83649063,
493,48.68209839,
492,47.6329155,
491,46.65378189,
490,45.71366119,
489,44.74758911,
488,43.9037056,
487,43.05418015,
486,42.26817322,
485,41.5110817,
484,40.80932617,
483,40.09553909,
482,39.40161514,
481,38.7118187,
480,38.04252243,
479,37.36269379,
478,36.70161819,
477,35.95454788,
476,35.24133301,
475,34.4780159,
474,33.66065216,
473,32.84545517,
472,31.9380455,
471,31.00880432,
470,30.03048515,
469,28.96440125,
468,27.86732674,
467,26.7285881,
466,25.56483078,
465,24.36929321,
464,23.14259338,
463,21.91159821,
462,20.67913055,
461,19.46646118,
460,18.28907013,
459,17.15499496,
458,16.07926559,
457,15.04590511,
456,14.07579327,
455,13.17414761,
454,12.33981609,
453,11.57855797,
452,10.87642956,
451,10.23526001,
450,9.655755043,
449,9.125813484,
448,8.668344498,
447,8.232300758,
446,7.829832077,
445,7.483728886,
444,7.159987926,
443,6.862575531,
442,6.599154472,
441,6.354516983,
440,6.13336134,
439,5.925680161,
438,5.731714249,
437,5.568647385,
436,5.400041103,
435,5.246614933,
434,5.094640732,
433,4.950572968,
432,4.825244427,
431,4.710641384,
430,4.589648724,
429,4.475529194,
428,4.359145164,
427,4.260745049,
426,4.152332306,
425,4.057221413,
424,3.959399462,
423,3.860404968,
422,3.768934011,
421,3.675679445,
420,3.582479715,
419,3.489291668,
418,3.398343086,
417,3.3064394,
416,3.210895061,
415,3.118769884,
414,3.026272535,
413,2.932335138,
412,2.83387661,
411,2.736382961,
410,2.637699366,
409,2.540109873,
408,2.443001747,
407,2.343968391,
406,2.246541262,
405,2.146893501,
404,2.052289248,
403,1.957745433,
402,1.86046505,
401,1.768158197,
400,1.678204298,
399,1.592112541,
398,1.505320668,
397,1.423733354,
396,1.343690753,
395,1.268227577,
394,1.197008848,
393,1.130008221,
392,1.066808939,
391,1.008514166,
390,0.9532584548,
389,0.9024325609,
388,0.8542721272,
387,0.8105314374,
386,0.7688802481,
385,0.7312859893,
384,0.6960819364,
383,0.6626600027,
382,0.6303104758,
381,0.6003108621,
380,0.5722058415,
379,0.5456486344,
378,0.5200502276,
377,0.4960798621,
376,0.4725502729,
375,0.4502987862,
374,0.4293856323,
373,0.4079914093,
372,0.3887490332,
371,0.3687978685,
370,0.3502161801,
369,0.3322465718,
368,0.3147420883,
367,0.2967641652,
366,0.2813537717,
365,0.2652560472,
364,0.2498987168,
363,0.2342607081,
362,0.2201846838,
361,0.205857724,
360,0.1927438825,
359,0.1794783175,
358,0.1676349342,
357,0.1554438621,
356,0.1443956047,
355,0.1337900609,
354,0.1237150878,
353,0.1138216928,
352,0.1050416976,
351,0.09594814479,
